  
 Print of DATAOBJECT Table in situation STEP_2 of component DFLT_COMP
 ====================================================================
  
 > Complex eigenvalues and frequencies in component system (Table CVALTAB.DISP)
 ----------------------------------------------------------------------------------------------------------
       Row       Frequency   Real(Lambda) Imag(Lambda) Damp.Coeff.   Circ.Freq   Eq.Dmp.Ratio  Ref.Freq.
            125  2.75206E+03 -1.69380E+03  1.72917E+04 -1.69380E+03  1.72917E+04  9.74881E-02  0.00000E+00
            126 -2.75206E+03 -1.69380E+03 -1.72917E+04 -1.69380E+03 -1.72917E+04  9.74881E-02  0.00000E+00
            127  2.76482E+03 -1.70964E+03  1.73719E+04 -1.70964E+03  1.73719E+04  9.79414E-02  0.00000E+00
            128 -2.76482E+03 -1.70964E+03 -1.73719E+04 -1.70964E+03 -1.73719E+04  9.79414E-02  0.00000E+00
            129  2.80669E+03 -1.76217E+03  1.76349E+04 -1.76217E+03  1.76349E+04  9.94300E-02  0.00000E+00
            130 -2.80669E+03 -1.76217E+03 -1.76349E+04 -1.76217E+03 -1.76349E+04  9.94300E-02  0.00000E+00
            131  2.81456E+03 -1.77214E+03  1.76844E+04 -1.77214E+03  1.76844E+04  9.97098E-02  0.00000E+00
            132 -2.81456E+03 -1.77214E+03 -1.76844E+04 -1.77214E+03 -1.76844E+04  9.97098E-02  0.00000E+00
            133  2.85269E+03 -1.82084E+03  1.79240E+04 -1.82084E+03  1.79240E+04  1.01066E-01  0.00000E+00
            134 -2.85269E+03 -1.82084E+03 -1.79240E+04 -1.82084E+03 -1.79240E+04  1.01066E-01  0.00000E+00
            135  2.85745E+03 -1.82696E+03  1.79539E+04 -1.82696E+03  1.79539E+04  1.01236E-01  0.00000E+00
            136 -2.85745E+03 -1.82696E+03 -1.79539E+04 -1.82696E+03 -1.79539E+04  1.01236E-01  0.00000E+00
            137  2.89063E+03 -1.86996E+03  1.81624E+04 -1.86996E+03  1.81624E+04  1.02417E-01  0.00000E+00
            138 -2.89063E+03 -1.86996E+03 -1.81624E+04 -1.86996E+03 -1.81624E+04  1.02417E-01  0.00000E+00
            139  2.89348E+03 -1.87368E+03  1.81803E+04 -1.87368E+03  1.81803E+04  1.02518E-01  0.00000E+00
            140 -2.89348E+03 -1.87368E+03 -1.81803E+04 -1.87368E+03 -1.81803E+04  1.02518E-01  0.00000E+00
            141  2.92102E+03 -1.90980E+03  1.83533E+04 -1.90980E+03  1.83533E+04  1.03499E-01  0.00000E+00
            142 -2.92102E+03 -1.90980E+03 -1.83533E+04 -1.90980E+03 -1.83533E+04  1.03499E-01  0.00000E+00
            143  2.92269E+03 -1.91199E+03  1.83638E+04 -1.91199E+03  1.83638E+04  1.03558E-01  0.00000E+00
            144 -2.92269E+03 -1.91199E+03 -1.83638E+04 -1.91199E+03 -1.83638E+04  1.03558E-01  0.00000E+00
            145  2.94428E+03 -1.94058E+03  1.84994E+04 -1.94058E+03  1.84994E+04  1.04327E-01  0.00000E+00
            146 -2.94428E+03 -1.94058E+03 -1.84994E+04 -1.94058E+03 -1.84994E+04  1.04327E-01  0.00000E+00
            147  2.94518E+03 -1.94178E+03  1.85051E+04 -1.94178E+03  1.85051E+04  1.04359E-01  0.00000E+00
            148 -2.94518E+03 -1.94178E+03 -1.85051E+04 -1.94178E+03 -1.85051E+04  1.04359E-01  0.00000E+00
            149  2.96070E+03 -1.96247E+03  1.86026E+04 -1.96247E+03  1.86026E+04  1.04912E-01  0.00000E+00
            150 -2.96070E+03 -1.96247E+03 -1.86026E+04 -1.96247E+03 -1.86026E+04  1.04912E-01  0.00000E+00
            151  2.96110E+03 -1.96300E+03  1.86051E+04 -1.96300E+03  1.86051E+04  1.04926E-01  0.00000E+00
            152 -2.96110E+03 -1.96300E+03 -1.86051E+04 -1.96300E+03 -1.86051E+04  1.04926E-01  0.00000E+00
            153  2.97048E+03 -1.97557E+03  1.86641E+04 -1.97557E+03  1.86641E+04  1.05261E-01  0.00000E+00
            154 -2.97048E+03 -1.97557E+03 -1.86641E+04 -1.97557E+03 -1.86641E+04  1.05261E-01  0.00000E+00
            155  2.97058E+03 -1.97570E+03  1.86647E+04 -1.97570E+03  1.86647E+04  1.05264E-01  0.00000E+00
            156 -2.97058E+03 -1.97570E+03 -1.86647E+04 -1.97570E+03 -1.86647E+04  1.05264E-01  0.00000E+00
            157  3.56857E+03 -2.86312E+03  2.24220E+04 -2.86312E+03  2.24220E+04  1.26664E-01  0.00000E+00
            158 -3.56857E+03 -2.86312E+03 -2.24220E+04 -2.86312E+03 -2.24220E+04  1.26664E-01  0.00000E+00
            159  3.57375E+03 -2.87157E+03  2.24546E+04 -2.87157E+03  2.24546E+04  1.26850E-01  0.00000E+00
            160 -3.57375E+03 -2.87157E+03 -2.24546E+04 -2.87157E+03 -2.24546E+04  1.26850E-01  0.00000E+00
            161  3.58246E+03 -2.88578E+03  2.25093E+04 -2.88578E+03  2.25093E+04  1.27163E-01  0.00000E+00
            162 -3.58246E+03 -2.88578E+03 -2.25093E+04 -2.88578E+03 -2.25093E+04  1.27163E-01  0.00000E+00
            163  3.59476E+03 -2.90592E+03  2.25865E+04 -2.90592E+03  2.25865E+04  1.27605E-01  0.00000E+00
            164 -3.59476E+03 -2.90592E+03 -2.25865E+04 -2.90592E+03 -2.25865E+04  1.27605E-01  0.00000E+00
            165  3.61073E+03 -2.93219E+03  2.26869E+04 -2.93219E+03  2.26869E+04  1.28180E-01  0.00000E+00
            166 -3.61073E+03 -2.93219E+03 -2.26869E+04 -2.93219E+03 -2.26869E+04  1.28180E-01  0.00000E+00
            167  3.63043E+03 -2.96476E+03  2.28107E+04 -2.96476E+03  2.28107E+04  1.28888E-01  0.00000E+00
            168 -3.63043E+03 -2.96476E+03 -2.28107E+04 -2.96476E+03 -2.28107E+04  1.28888E-01  0.00000E+00
            169  3.65378E+03 -3.00361E+03  2.29574E+04 -3.00361E+03  2.29574E+04  1.29729E-01  0.00000E+00
            170 -3.65378E+03 -3.00361E+03 -2.29574E+04 -3.00361E+03 -2.29574E+04  1.29729E-01  0.00000E+00
            171  3.68056E+03 -3.04850E+03  2.31256E+04 -3.04850E+03  2.31256E+04  1.30693E-01  0.00000E+00
            172 -3.68056E+03 -3.04850E+03 -2.31256E+04 -3.04850E+03 -2.31256E+04  1.30693E-01  0.00000E+00
            173  3.71045E+03 -3.09902E+03  2.33135E+04 -3.09902E+03  2.33135E+04  1.31769E-01  0.00000E+00
            174 -3.71045E+03 -3.09902E+03 -2.33135E+04 -3.09902E+03 -2.33135E+04  1.31769E-01  0.00000E+00
            175  3.74354E+03 -3.15545E+03  2.35213E+04 -3.15545E+03  2.35213E+04  1.32961E-01  0.00000E+00
            176 -3.74354E+03 -3.15545E+03 -2.35213E+04 -3.15545E+03 -2.35213E+04  1.32961E-01  0.00000E+00
            177  3.78095E+03 -3.21991E+03  2.37564E+04 -3.21991E+03  2.37564E+04  1.34310E-01  0.00000E+00
            178 -3.78095E+03 -3.21991E+03 -2.37564E+04 -3.21991E+03 -2.37564E+04  1.34310E-01  0.00000E+00
            179  3.82482E+03 -3.29636E+03  2.40320E+04 -3.29636E+03  2.40320E+04  1.35893E-01  0.00000E+00
            180 -3.82482E+03 -3.29636E+03 -2.40320E+04 -3.29636E+03 -2.40320E+04  1.35893E-01  0.00000E+00
