time_s,true_force,L2_estimate,Huber_estimate,exact_L1_estimate
0.6140468227,-13.83270864,-4.762539892,-5.553437145,-5.772535195
0.6180602007,-11.78533903,-2.951050214,-3.538123186,-3.929236827
0.6220735786,-10.04728196,-0.9708427304,-1.522809424,-1.911160178
0.6260869565,-8.309225487,1.684981274,0.4925001668,0.7921862095
0.6301003344,-6.650198946,2.010429706,1.945903366,1.137958447
0.6341137124,-4.991172405,4.440775298,3.399306566,3.616732109
0.6381270903,-3.332145864,5.163747064,4.852709766,4.382152329
0.6421404682,-1.677705323,6.871130522,5.98763402,6.144271963
0.6461538462,-0.0232648002,6.713407505,7.122557075,6.007160886
0.6501672241,1.410789693,9.611019535,8.751668297,8.966908075
0.654180602,2.553337408,10.93380596,9.934863621,10.33290445
0.6581939799,3.310087785,10.3945755,10.2387533,9.793880165
0.6622073579,3.619740247,10.8709449,10.30041478,10.30421862
0.6662207358,3.466122453,10.37351163,10.36207532,9.817035164
0.6702341137,2.883225437,11.56451747,10.001176,11.05437928
0.6742474916,1.95285317,8.455106266,8.504696072,7.897580063
0.6782608696,0.8233198335,7.291823125,6.662281699,6.742858647
0.6822742475,-0.3062135027,4.544479671,4.819867408,3.967936359
0.6862876254,-1.435746839,3.873426895,3.760142222,3.30691695
0.6903010033,-2.565280175,3.839766558,3.147783407,3.272783249
0.6943143813,-3.194524798,1.977333947,2.404918392,2.427980605
0.6983277592,-3.426010364,0.4762948944,1.935803813,2.068223532
0.7023411371,-3.237245518,1.959464811,2.159669201,2.13388393
0.7063545151,-2.65719898,2.487276598,2.689914654,3.095771027
0.710367893,-1.762048981,3.163954566,3.220160989,2.938960858
0.7143812709,-0.647422628,4.011894579,3.895858041,3.920842463
0.7183946488,0.4672037248,4.242670652,4.947744851,4.25022469
0.7224080268,1.581830078,7.298876967,6.115144206,7.447730329
0.7264214047,2.458816538,5.73783757,6.420267454,5.948713757
0.7304347826,3.024003544,6.728075089,6.378909797,7.045478885
0.7344481605,3.213076333,5.578832941,6.033893733,5.949666619
0.7384615385,3.008407899,5.565424375,5.496933662,6.014620471
0.7424749164,2.440515924,4.167492547,4.769047687,4.655227781
0.7464882943,1.583736343,4.19760265,4.041160334,4.755117996
0.7505016722,0.5392009801,2.484067133,2.777925658,3.067185939
0.7545150502,-0.5053359332,0.7705172128,1.183036934,1.379239114
